Produto;Quantidade;Unitario;Total;Venda Ano;Loja;Cidade
 Aneethun Age Shampoo 1 Litro ;50;119.9;5995.0;1498.75;https://perfil.mercadolivre.com.br/DOCE+BELEZA+OFICIAL?brandId=137;São Paulo, São Paulo.
 Aneethun Linha A Máscara 1 Kilo ;253;119.9;30334.7;7583.68;https://perfil.mercadolivre.com.br/DOCE+BELEZA+OFICIAL?brandId=137;São Paulo, São Paulo.
 Kit Hidratação Imediata Aneethun Cliente ;26;155.25;4036.5;1345.5;https://perfil.mercadolivre.com.br/CIABELEZA+DISBEL;Presidente Prudente, São Paulo.
 Kit Aneethun Profissional (máscara+shampoo+condicionador) ;1;169.9;169.9;15.45;https://perfil.mercadolivre.com.br/MAGAZINELZSP;Assis, São Paulo.
 Aneethun Linha A Máscara Capilar Hidratação Intensivo 500g ;743;65.0;48295.0;8049.17;https://perfil.mercadolivre.com.br/WEB+COSMETICO;Bauru, São Paulo.
 Aneethun Creme De Silicone Com Tutano E Queratina - 250ml ;615;49.0;30135.0;5022.5;https://perfil.mercadolivre.com.br/WEB+COSMETICO;Bauru, São Paulo.
 Kit Aneethun Linha A - Shampoo/máscara/creme De Silicone ;253;167.99;42501.47;5312.68;https://perfil.mercadolivre.com.br/F.W+COSM%C3%89TICOS;Bauru, São Paulo.
 Shampoo E Mascara Linha A Aneethun ;101;99.0;9999.0;1666.5;https://perfil.mercadolivre.com.br/WEB+COSMETICO;Bauru, São Paulo.
 Aneethun Linha A Creme De Silicone 250 Ml ;64;49.9;3193.6;3193.6;https://perfil.mercadolivre.com.br/THEBESTHAIRPROFESSIONAL;Atibaia, São Paulo.
 Aneethun Máscara Hidratante Kinoa 1k ;45;119.99;5399.55;1799.85;https://perfil.mercadolivre.com.br/ETERNIA+COSM%C3%89TICOS;Nova Iguaçu, Rio de Janeiro.
 Kit Aneethun Kinoa Lizz - Black Friday ;119;154.9;18433.1;2633.3;https://perfil.mercadolivre.com.br/TBARROSF;São Paulo, São Paulo.
 Aneethun Linha A Hidratação Profunda Kit 3 Produtos ;365;165.0;60225.0;10037.5;https://perfil.mercadolivre.com.br/WEB+COSMETICO;Bauru, São Paulo.
 Aneethun Linha A -spray Multibenefícios 150ml+ Mascara 500g ;50;102.0;5100.0;850.0;https://perfil.mercadolivre.com.br/WEB+COSMETICO;Bauru, São Paulo.
 Aneethun Creme De Silicone 250ml Linha A ;502;52.2;26204.4;6551.1;https://perfil.mercadolivre.com.br/BELEZACOSM%C3%89TICOS;São Paulo, São Paulo.
 Aneethun Linha A Hidratação Profunda Kit 4 Produtos ;35;205.0;7175.0;1195.83;https://perfil.mercadolivre.com.br/WEB+COSMETICO;Bauru, São Paulo.
 Kit Liss System ( Shampoo + Máscara + Thermal Antifrizz ) ;91;143.0;13013.0;2168.83;https://perfil.mercadolivre.com.br/WEB+COSMETICO;Bauru, São Paulo.
 Aneethun Queen Máscara Treatment 990ml Hidratação ;159;149.9;23834.1;5958.52;https://perfil.mercadolivre.com.br/BELEZACOSM%C3%89TICOS;São Paulo, São Paulo.
 Kit Shampoo De 1 Litro+mascara 500gr Profi Aneethun Linha A ;32;189.0;6048.0;864.0;https://perfil.mercadolivre.com.br/TBARROSF;São Paulo, São Paulo.
 Shampoo+máscara Aneethun Liss Alinhamento Capilar 3 Produtos ;40;282.89;11315.6;2263.12;https://perfil.mercadolivre.com.br/PURAMANIACOSMETICOS;Presidente Prudente, São Paulo.
 Kit Aneethun Age - Black Friday ;69;155.0;10695.0;1527.86;https://perfil.mercadolivre.com.br/TBARROSF;São Paulo, São Paulo.
